time_week,device_id,category,chain,visits
2014-11-16,/dyVtXtfdgk5owayilTxLcY9uqk=,Grocery,Vons,1
2014-11-16,KobUoLQyFFC1uLLldL7VGNXhpDs=,Grocery,Vons,1
2014-11-16,gwY3OOcLmeCn4SvWi6sDPdtFwe0=,Grocery,Vons,1
2014-11-16,cKDF+uU5NrNYzfU0w585qdbInG8=,Grocery,Vons,3
2014-11-16,zRikEyIY8nOrLExONuTgVQ93p+g=,Grocery,Vons,2
2014-11-16,rVhrqxX2t0CVWsiqNQ6xoN9/9rw=,Grocery,Vons,2
2014-11-16,bhBozx5t2GYn8ahHNCLApWEY63A=,Grocery,Vons,1
2014-11-16,aPe2KhqpGrDGCjP5hxJBpSrmeTQ=,Grocery,Vons,1
2014-11-16,Ba6opUTRytkn8/S/vZQTbaah0po=,Grocery,Vons,5
2014-11-16,piGrkyEIrNPivv4WR3MJCA0rC/Q=,Grocery,Vons,2
2014-11-16,WoybmUD8xyNgn4zUuoDfMggqT1I=,Grocery,Vons,2
2014-11-16,8jABwZjOiSxOvh0xHn2ybCukhRE=,Grocery,Vons,1
2014-11-16,mP70qSxM6NfSQg5nxxgvrMJC5Ic=,Grocery,Vons,5
2014-11-16,uFOfqwpfGTGY4qgoD9nePpu2+e8=,Grocery,Vons,1
2014-11-16,Q3DjLEVCFskYDEIdZlXCTmhHLqo=,Grocery,Kroger,1
2014-11-16,HDCs1zGrBoOjFCxmAi/Myas63ho=,Grocery,Kroger,2
2014-11-16,GYdM5prO6ceGE4dT4I8zTClGCV0=,Grocery,Kroger,4
2014-11-16,HeVmuQv5zJOD7Sdr8OmFSAtfffQ=,Grocery,Kroger,1
2014-11-16,nMoEDQhG1+4DlypNlD12Jy+swns=,Grocery,Kroger,2
2014-11-16,81355EcY4lOqpOnpY1J0gA0JQXo=,Grocery,Kroger,1
2014-11-16,zRz1p3G1+h1Q0SI3aN4Vjuud++k=,Grocery,Kroger,3
2014-11-16,BAilH6Ls2GKmVwW2tOyl5QOCrIY=,Grocery,Kroger,2
2014-11-16,mo0FpN6JxH2DT39MH3X7QYQ6BjY=,Grocery,Kroger,2
2014-11-16,mSde6p20IwEj+Y6WHHIuH/vJLR0=,Grocery,Kroger,1
2014-11-16,IOpqz56FM3Wj5CS+Lun2PXkloTA=,Grocery,Kroger,1
2014-11-16,vm+XF0wmRXSnSk1v5G9N2Dciwow=,Grocery,Kroger,1
2014-11-16,VbUz8vrrgxezh8v/s33B3J+XgUc=,Grocery,Kroger,1
2014-11-16,PkWqyR+HwRRFTkNRd5j3wK2Wc24=,Grocery,Kroger,1
2014-11-16,I/1ZkXW7B3Nn+rWy0kdmDzZS/Kk=,Grocery,Kroger,2
2014-11-16,riZ56ffmfu+SFXLtQJ/64pjIv2o=,Grocery,Kroger,1
2014-11-16,mSX9wnkctv0q9wgCrXdAgooiKD4=,Grocery,Kroger,2
2014-11-16,iDvDyNEJIFOg4AoOM2aZNKFuHfs=,Grocery,Kroger,2
2014-11-16,c4ojWjsL+gzjOQx7fZKllwWRQUQ=,Grocery,Kroger,4
2014-11-16,7+nDtooqN/xMTIOY2gTtWZedhxo=,Grocery,Kroger,2
